date, pm10, no2, so2, co
01-04-2025,73,11,4,10
02-04-2025,73,11,4,11
03-04-2025,70,11,4,10
04-04-2025,67,11,4,10
05-04-2025,68,11,4,10
06-04-2025,69,11,4,10
07-04-2025,70,13,4,11
08-04-2025,71,15,3,12
09-04-2025,70,16,2,10
10-04-2025,72,15,3,11
11-04-2025,70,11,4,12
12-04-2025,69,11,4,11
13-04-2025,69,11,4,11
14-04-2025,70,11,4,12
15-04-2025,69,12,5,10
16-04-2025,69,11,4,13
17-04-2025,68,11,4,11
18-04-2025,71,11,4,12
19-04-2025,70,11,4,10
20-04-2025,71,11,4,12
21-04-2025,71,12,4,10
22-04-2025,73,12,4,9
23-04-2025,73,12,3,9
24-04-2025,71,13,4,11
25-04-2025,71,16,3,8
26-04-2025,72,17,2,8
27-04-2025,72, , , 
01-01-2025,69,8,5,9
02-01-2025,68,9,5,10
03-01-2025,68,9,6,10
04-01-2025,68,9,6,8
05-01-2025,67,8,6,9
06-01-2025,68,9,5,6
07-01-2025,65,9,5,7
08-01-2025,62,10,4,8
09-01-2025,62,10,4,6
10-01-2025,62, , , 
15-01-2025,66,12,5,4
16-01-2025,68,11,4,4
17-01-2025,74,9,5,4
18-01-2025,73,9,6,4
19-01-2025,72,8,5,8
20-01-2025,72,7,5,11
21-01-2025,73,7,4,7
22-01-2025,72,8,3,6
23-01-2025,64,8,2,2
24-01-2025,92,8,2,2
25-01-2025,88,8,1,1
26-01-2025,105,8,1,2
27-01-2025,83,8,2,7
28-01-2025,61,9,3,12
29-01-2025,38,11,4,13
30-01-2025,120,11,4,14
31-01-2025,70,11,4,14
01-02-2025,70,11,4,14
02-02-2025,69,11,4,11
03-02-2025,71,11,4,11
04-02-2025,71,11,4,11
05-02-2025,73,11,4,11
06-02-2025,71,11,4,11
07-02-2025,71,11,4,11
08-02-2025,73,12,4,12
09-02-2025,73,13,4,12
10-02-2025,73,14,3,10
11-02-2025,71,15,3,10
12-02-2025,72,15,4,10
13-02-2025,72,15,3,8
14-02-2025,71,17,4,14
15-02-2025,75,15,4,10
16-02-2025,73,11,4,11
17-02-2025,71,11,4,11
18-02-2025,84,13,4,13
19-02-2025,71,16,3,13
20-02-2025,73,16,3,12
21-02-2025,72,17,2,9
22-02-2025,71, , , 
26-02-2025,71,16,3,10
27-02-2025,70,16,3,11
28-02-2025,69,17,3,11
01-03-2025,69,18,3,10
02-03-2025,71,18,3,9
03-03-2025,70,16,3,9
04-03-2025,72,12,4,11
05-03-2025,73,11,4,11
06-03-2025,72,12,4,11
07-03-2025,74,12,4,12
08-03-2025,73,12,4,11
09-03-2025,73,12,4,11
10-03-2025,69,12,4,13
11-03-2025,68,12,4,12
12-03-2025,67,12,4,11
13-03-2025,68,12,4,11
14-03-2025,69,12,4,10
15-03-2025,71,12,4,12
16-03-2025,69,12,4,12
17-03-2025,70,12,4,12
18-03-2025,69,12,4,12
19-03-2025,70,11,4,14
20-03-2025,70,12,4,12
21-03-2025,70,11,4,12
22-03-2025,69,11,4,14
23-03-2025,69,11,4,11
24-03-2025,69,11,4,12
25-03-2025,70,11,4,12
26-03-2025,71,11,3,11
27-03-2025,72,12,4,10
28-03-2025,73,12,4,9
29-03-2025,73,12,3,10
30-03-2025,72,12,4,10
31-03-2025,72,11,4,10
01-10-2024,74,12,6,11
02-10-2024,41,12,7,11
03-10-2024,27,11,7,11
04-10-2024,91,11,6,11
05-10-2024,52,11,5,11
06-10-2024,73,11,7,11
07-10-2024,116,11,6,11
08-10-2024,39,11,5,11
09-10-2024,93,11,5,11
10-10-2024,74,11,5,11
11-10-2024,38,11,5,11
12-10-2024,76,11,5,11
13-10-2024,29,10,6,11
14-10-2024,49,10,6,11
15-10-2024,52,10,5,11
16-10-2024,61,10,5,12
17-10-2024,61,10,5,11
18-10-2024,61,10,4,11
19-10-2024,63,11, ,11
20-10-2024,63,10, ,11
21-10-2024,62,10, ,12
22-10-2024,63,10, ,11
23-10-2024,63,10, ,12
24-10-2024,62,10,10,14
25-10-2024,58,11,6,13
26-10-2024,60,11,5,14
27-10-2024,60,11,4,15
28-10-2024,74,11,5,13
29-10-2024,81,11,6,13
30-10-2024,89,11,8,16
31-10-2024,117,15,6,17
01-11-2024,97,14,6,19
02-11-2024,81,12,5,21
03-11-2024,83,12,5,13
04-11-2024,81,12,5,12
05-11-2024,111,12,5,13
06-11-2024,60,12,6,12
07-11-2024,108,11,6,12
08-11-2024,52,10,6,12
09-11-2024,22,10,6,11
10-11-2024,55,10,6,12
11-11-2024,66,10,6,11
12-11-2024,63,10,6,12
13-11-2024,47,10,6,12
14-11-2024,45,10,6,12
15-11-2024,54,10,6,11
16-11-2024,61,10,6,9
17-11-2024,72,10,7,10
18-11-2024,66,9,5,10
19-11-2024,59,9,5,11
20-11-2024,60,9,5,12
21-11-2024,62,9,6,11
22-11-2024,60,10,5,13
23-11-2024,68,10,5,10
24-11-2024,63,10,5,12
25-11-2024,70,10,5,9
26-11-2024,66,10,5,10
27-11-2024,64,10,4,10
28-11-2024,22,10,5,9
29-11-2024,16,10,5,8
30-11-2024,17,10,4,8
01-12-2024,16, , , 
03-12-2024,35,9,5,10
04-12-2024,56,9,5,10
05-12-2024,56,9,5,11
06-12-2024,57,9,5,10
07-12-2024,57, , , 
09-12-2024,58,10,6,10
10-12-2024,58,9,5,9
11-12-2024,55,9,6,12
12-12-2024,56,9,6,11
13-12-2024,112,9,6,10
14-12-2024,58,9,6,10
15-12-2024,58,9,6,11
16-12-2024,62,9,6,9
17-12-2024,65,9,5,9
23-12-2024,65,9,6,9
24-12-2024,67,9,6,8
25-12-2024,66,9,6,10
26-12-2024,66,9,6,10
27-12-2024,66,9,6,10
28-12-2024,67,9,6,10
29-12-2024,67, , , 
02-07-2024,59,9,6,11
03-07-2024,56,9,6,11
04-07-2024,65,9,6,11
05-07-2024,61,9,6,11
06-07-2024,65,9,6,11
07-07-2024,66,9,6,12
08-07-2024,65,9,6,12
09-07-2024,59,10,6,11
11-07-2024,68,10,6,13
12-07-2024,69,9,7,12
13-07-2024,67,9,8,12
14-07-2024,65,9,8,11
15-07-2024,66,9,7,11
16-07-2024,30,9,7,13
17-07-2024,72,9,6,11
18-07-2024,59,9,6,11
19-07-2024,80,9,6,12
20-07-2024,104,8,6,11
21-07-2024,78,9,6,11
22-07-2024,73,8,6,11
23-07-2024,67,9,6,11
24-07-2024,66,9,8,11
25-07-2024,61,8,8,12
26-07-2024,62,8,8,11
27-07-2024,58,8,8,11
28-07-2024,65,8,8,11
29-07-2024,59,8,8,11
30-07-2024,64,9,8,11
31-07-2024,64,8,6,13
01-08-2024,63,8,5,11
02-08-2024,60,9,5,13
03-08-2024,64,8,5,12
04-08-2024,60,9,5,11
05-08-2024,62,9,4,12
06-08-2024,66,8,4,10
07-08-2024,65,8,4,11
08-08-2024,63,8,4,12
09-08-2024,63,9,4,11
10-08-2024,60,9,5,11
12-08-2024,68,9,5,12
13-08-2024,69,9,5,11
14-08-2024,60,9,4,12
15-08-2024,69,9,6,11
16-08-2024,67,9,5,12
17-08-2024,64,9,5,12
18-08-2024,64,9,5,11
19-08-2024,66,9,6,11
20-08-2024,58,9,6,12
21-08-2024,62,9,5,12
22-08-2024,69,9,6,11
23-08-2024,80,9,6,11
24-08-2024,77,9,6,11
25-08-2024,75,9,6,12
26-08-2024,81,9,6,11
27-08-2024,73,9,5,11
28-08-2024,67,9,6,11
29-08-2024,65,9,6,12
30-08-2024,76,9,6,11
31-08-2024,66,9,5,12
01-09-2024,62,9,5,11
02-09-2024,60,9,5,12
03-09-2024,66,10,5,11
04-09-2024,67,10,5,11
05-09-2024,63,10,6,11
06-09-2024,63,10,5,12
07-09-2024,65,10,5, 
08-09-2024,63,10,5, 
09-09-2024,66,11,6,10
10-09-2024,69,11,6,11
11-09-2024,60,11,5,12
12-09-2024,65,11,5,11
13-09-2024,63,12,5,11
14-09-2024,57,12,6,11
15-09-2024,54,12,6,11
16-09-2024,60,12,6,11
17-09-2024,59,12,6,11
18-09-2024,65,13,6,11
19-09-2024,106,13,5,11
20-09-2024,61,13,6,11
21-09-2024,50,13,7,11
23-09-2024,69,13,6,11
24-09-2024,72,12,6,11
25-09-2024,94,11,6,11
26-09-2024,69,11,5,11
27-09-2024,107,11,6,11
29-09-2024,78,11,7,11
30-09-2024,73,12,5,12
14-06-2024,64,11,7,12
15-06-2024,62,10,7,11
16-06-2024,66,13,7,11
17-06-2024,61,12,7,11
18-06-2024,56,10,7,12
19-06-2024,64,12,7,10
20-06-2024,62,10,7,11
21-06-2024,69,11,7,11
22-06-2024,64,10,7,13
23-06-2024,61,10,7,11
24-06-2024,62,9,8,12
25-06-2024,50,9,7,12
26-06-2024,62,9,7,11
27-06-2024,67,9,7,12
28-06-2024,62,9,7,12
29-06-2024,61,9,7,11
01-01-2024,64,6,4,8
02-01-2024,62,6,3,9
03-01-2024,61,6,3,8
04-01-2024,62,5,4,8
05-01-2024,68,7,4,7
06-01-2024,189, , , 
11-01-2024,36,6,5,12
12-01-2024,51,7,5,13
13-01-2024,52,8,5,12
14-01-2024,53,8,5,12
15-01-2024,50,7,5,12
16-01-2024,51,7,5,13
17-01-2024,51,8,5,11
18-01-2024,51,8,5,12
19-01-2024,50,8,6,12
20-01-2024,59,9,6,12
21-01-2024,62,9,5,12
22-01-2024,61,9,5,12
23-01-2024,60,8,5,12
24-01-2024,58,8,5,12
25-01-2024,60,8,6,12
26-01-2024,60,9,6,12
27-01-2024,61, , , 
29-01-2024,60,9,6,12
30-01-2024,57,8,5,19
31-01-2024,59,8,5,11
01-02-2024,58,9,5,14
02-02-2024,62,11,5,14
03-02-2024,58,10,5,11
04-02-2024,61,8,5,11
05-02-2024,59,9,5,12
06-02-2024,59,8,5,12
07-02-2024,58,9,5,12
08-02-2024,57,8,5,12
09-02-2024,59,9,5,12
10-02-2024,58,9,5,11
11-02-2024,60,10,5,11
12-02-2024,56,9,5,12
13-02-2024,58,9,4,13
14-02-2024,57,9,5,11
15-02-2024,59,10,5,13
16-02-2024,59,9,5,13
17-02-2024,56,14,5,13
18-02-2024,62,10,5,11
19-02-2024,59,9,5,10
20-02-2024,60,10,5,12
21-02-2024,60,12,5,12
22-02-2024,61,12,5,11
23-02-2024,57,12,5,13
24-02-2024,61,14,5,11
25-02-2024,59,12,5,12
26-02-2024,59,10,5,11
27-02-2024,56,9,5,10
28-02-2024,56,9,5,11
29-02-2024,59,10,5,12
01-03-2024,62,10,5,13
02-03-2024,60,13,5,12
03-03-2024,59,12,5,12
04-03-2024,57,13,7,12
05-03-2024,57, , , 
01-10-2023,61,15,10,7
02-10-2023,66,15,10,7
03-10-2023,64,14,10,8
04-10-2023,62,13,10,7
05-10-2023,63,10,10,8
06-10-2023,61,10,10,7
07-10-2023,60,10,10,7
08-10-2023,63,10,10,10
09-10-2023,61,10,10,10
10-10-2023,65,10,10,9
11-10-2023,61,10,10,7
12-10-2023,63,10,10,8
13-10-2023,63,10,10,8
14-10-2023,64,10,10,7
15-10-2023,63,9,10,8
16-10-2023,62,11,10,9
17-10-2023,63,12,10,9
18-10-2023,64,12,10,6
19-10-2023,61,9,10,10
20-10-2023,63,9,10,7
21-10-2023,63,13,10,8
22-10-2023,62,15,10,9
23-10-2023,63,15,10,8
24-10-2023,57,14,10,10
25-10-2023,59,13,10,10
26-10-2023,63,13,10,9
27-10-2023,59,14,10,8
28-10-2023,61,16,10,8
29-10-2023,60,13,8,8
30-10-2023,61,10,7,8
31-10-2023,60,11,7,9
01-11-2023,55,11,7,10
02-11-2023,60,13,7,9
03-11-2023,61,12,7,8
04-11-2023,62,10,7,8
05-11-2023,62,10,5,9
06-11-2023,61,10,3,9
07-11-2023,62,9,3,8
08-11-2023,61,9,4,9
09-11-2023,60,9,5,14
10-11-2023,50,9,6,9
11-11-2023,64, , , 
19-11-2023,69,9,5,11
20-11-2023,67, , , 
22-11-2023,60,8,4,9
23-11-2023,63,11,4,4
24-11-2023,65,12,4,12
25-11-2023,67,13,4,5
26-11-2023,65,11,4,5
27-11-2023,63,12,4,8
28-11-2023,65,12,4,6
29-11-2023,61,12,4,7
30-11-2023,61,11,5,9
01-12-2023,63,11,5,9
02-12-2023,61,13,5,7
03-12-2023,60,12,4,8
04-12-2023,64,11,4,7
05-12-2023,59, , , 
07-12-2023,64,11,4,7
08-12-2023,165,13,4,7
09-12-2023,35, , , 
11-12-2023,31,12,4,7
12-12-2023,33, , , 
14-12-2023,57, , , 
16-12-2023,50, , , 
19-12-2023,64,8,4,7
20-12-2023,58,8,4,10
21-12-2023,59,8,4,8
22-12-2023,69,5,4,8
23-12-2023,56,7,4,7
24-12-2023,61,8,4,7
25-12-2023,61, , , 
28-12-2023,62,7,4,8
29-12-2023,64,8,4,7
30-12-2023,62,8,4,8
31-12-2023,64,7,4,7
01-07-2023,56,11,9,7
02-07-2023,53,11,9,6
03-07-2023,60,11,9,8
04-07-2023,47,11,10,7
05-07-2023,35,11,9,6
06-07-2023,35,11,9,7
07-07-2023,43,11,9,9
08-07-2023,39, , , 
10-07-2023,35,11,9,7
11-07-2023,47,11,9,7
12-07-2023,51,11,9,7
13-07-2023,48,11,9,7
14-07-2023,51,11,9,6
15-07-2023,51, , , 
17-07-2023,67,16,9,7
18-07-2023,58,16,8,7
19-07-2023,55,17,9,8
20-07-2023,60,18,9,7
21-07-2023,57,18,9,7
22-07-2023,51, , , 
24-07-2023,46,15,9,7
25-07-2023,40,15,9,8
26-07-2023,73,15,9,8
27-07-2023,99,16,9,7
28-07-2023,57,16,9,7
29-07-2023,48,18,9,7
30-07-2023,46,18,9,7
31-07-2023,46,17,9,7
01-08-2023,41, , , 
04-08-2023,45,18,9,8
05-08-2023,44,19,9,8
06-08-2023,47,18,9,7
07-08-2023,48,17,9,7
08-08-2023,48,17,9,7
09-08-2023,46,17,9,8
10-08-2023,50,18,9,7
11-08-2023,50, , , 
14-08-2023,48,19,9,7
15-08-2023,49,18,9,8
16-08-2023,50,15,9,7
17-08-2023,46,15,9,7
18-08-2023,47,15,9,8
19-08-2023,48,16,9,5
20-08-2023,45,17,8,11
21-08-2023,44,17,9,7
22-08-2023,47,16,9,7
23-08-2023,48,15,9,8
24-08-2023,45,16,9,6
25-08-2023,47, , , 
28-08-2023,49,15,9,8
29-08-2023,48,17,9,7
30-08-2023,46,18,9,7
31-08-2023,46,17,8,8
01-09-2023,46,17,9,6
02-09-2023,48,18,9,6
03-09-2023,48,16,8,7
04-09-2023,46,15,9,7
05-09-2023,46, , , 
08-09-2023,37,16,9, 
09-09-2023,44, , , 
11-09-2023,55,15,10,40
12-09-2023,63,15,10,6
13-09-2023,63,14,10,8
14-09-2023,62,15,10,8
15-09-2023,64,14,10,7
16-09-2023,64, , , 
19-09-2023,62, , , 
21-09-2023,63,15,10,7
22-09-2023,63, , , 
25-09-2023,59,13,10,8
26-09-2023,61,14,10,7
27-09-2023,63,13,10,7
28-09-2023,66,13,10,7
29-09-2023,65,13,10,6
30-09-2023,62,15,10,8
03-04-2023,70,11,9,10
04-04-2023,69,12,9,10
05-04-2023,68,11,9,9
06-04-2023,71,11,9,9
07-04-2023,67, , , 
10-04-2023,70,11,9,9
11-04-2023,68,12,9,10
12-04-2023,73,12,7,11
13-04-2023,84,14,7,13
14-04-2023,84,14,7,9
15-04-2023,73,14,7,8
16-04-2023,77,14,7,9
17-04-2023,69,13,7,11
18-04-2023,69,12,7,9
19-04-2023,98,12,8,11
20-04-2023,83,13,9,10
21-04-2023,76,14,9,9
22-04-2023,90,13,9,10
23-04-2023,66,11,9,11
24-04-2023,68,13,9,10
25-04-2023,70,12,9,10
26-04-2023,67,12,9,10
27-04-2023,75,13,9,10
28-04-2023,66,13,9,12
29-04-2023,78,14,8,10
30-04-2023,83,14,9,9
01-05-2023,62,13,9,11
02-05-2023,54,13,9,10
03-05-2023,53,13,9,10
04-05-2023,52,14,9,10
05-05-2023,50,13,9,10
06-05-2023,60,13,9,8
07-05-2023,53, , , 
09-05-2023,60, , , 
12-05-2023,54, , , 
14-05-2023,60,2,9,9
15-05-2023,65,5,9,10
16-05-2023,68,4,9,9
17-05-2023,65,11,9,10
18-05-2023,62,11,9,11
19-05-2023,65, , , 
22-05-2023,58,11,9,10
23-05-2023,59,11,9,11
24-05-2023,56,11,9,10
25-05-2023,58,11,9,15
26-05-2023,36, , , 
29-05-2023,65,11,9,10
30-05-2023,56, , , 
01-06-2023,58,11,9,10
02-06-2023,61,11,9,8
03-06-2023,64,11,8,7
04-06-2023,69,11,9,7
05-06-2023,57,11,9,8
06-06-2023,64,11,9,8
07-06-2023,56,11,9,8
08-06-2023,48,11,9,8
09-06-2023,59,11,9,7
10-06-2023,63,11,9,7
11-06-2023,56,11,9,8
12-06-2023,56,11,9,7
13-06-2023,56,11,9,7
14-06-2023,75,11,8,7
15-06-2023,50,11,8,8
16-06-2023,72,11,9,8
17-06-2023,54, , , 
19-06-2023,64,11,9,7
20-06-2023,65,11,9,7
21-06-2023,57,11,9,7
22-06-2023,53,11,9,7
23-06-2023,56,11,9,6
24-06-2023,53, , , 
27-06-2023,59,11,9,6
28-06-2023,51,11,9,7
29-06-2023,53,11,9,7
30-06-2023,53,11,9,7
02-01-2023,69,12,6,22
03-01-2023,64,12,6,22
04-01-2023,64,12,6,22
05-01-2023,63,11,6,22
06-01-2023,64,11,6,22
07-01-2023,65,11,6,22
08-01-2023,70,11,6,22
09-01-2023,63,11,6,19
10-01-2023,67,11,6,16
11-01-2023,67,11,6,16
12-01-2023,66,11,6,16
13-01-2023,68, , , 
17-01-2023,68,12,6,16
18-01-2023,66,12,6,16
19-01-2023,65,12,6,16
20-01-2023,67,11,6,16
21-01-2023,72,12,6,16
22-01-2023,67,11,6,16
23-01-2023,66,11,6,16
24-01-2023,62,11,6,16
25-01-2023,63,11,6,16
26-01-2023,68,12,6,16
27-01-2023,66, , , 
30-01-2023,66,11,6,16
31-01-2023,65,12,6,16
01-02-2023,70,12,6,16
02-02-2023,70,12,7,17
03-02-2023,67,12,9,17
04-02-2023,66,12,9,17
05-02-2023,67,12,9,17
06-02-2023,69,12,9,17
07-02-2023,71,11,10,16
08-02-2023,71,11,11,14
09-02-2023,70,14,9,13
10-02-2023,70,14,8,9
11-02-2023,74,29,8,8
12-02-2023,74,17,8,9
13-02-2023,70,11,8,8
14-02-2023,73,11,9,8
15-02-2023,71,11,9,9
16-02-2023,70,11,9,9
17-02-2023,68,12,9,7
18-02-2023,70,11,9,8
19-02-2023,66,12,9,9
20-02-2023,65,12,9,9
21-02-2023,68,12,9,7
22-02-2023,73,11,9,8
23-02-2023,70,11,9,9
24-02-2023,65,11,9,5
25-02-2023,61, , , 
28-02-2023,68,11,9,7
01-03-2023,66,12,9,7
02-03-2023,68,11,9,7
03-03-2023,71,11,9,7
04-03-2023,68,12,9,7
05-03-2023,68,11,9,10
06-03-2023,66,11,9,10
07-03-2023,67,11,9,10
08-03-2023,63,11,9,11
09-03-2023,66,11,9,10
10-03-2023,63,11,9,10
11-03-2023,68,11,9,9
12-03-2023,64,12,9,11
13-03-2023,64,12,9,9
14-03-2023,66,11,9,11
15-03-2023,70,11,9,10
16-03-2023,75,12,9,11
17-03-2023,64,12,9,10
18-03-2023,61,11,9,9
19-03-2023,66,11,9,10
20-03-2023,75,11,9,11
21-03-2023,65,12,9,13
22-03-2023,80,11,9,14
23-03-2023,76,11,9,10
24-03-2023,65, , , 
27-03-2023,68,11,9,11
28-03-2023,69,11,9,9
29-03-2023,64,11,9,12
30-03-2023,65,12,9,10
31-03-2023,61, , , 
01-10-2022,117,10,9,13
02-10-2022,50,10,9,12
03-10-2022,188,10,9,13
04-10-2022,119,10,9,10
05-10-2022,134,10,9,14
06-10-2022,100,10,9,11
07-10-2022,64,10,9,11
08-10-2022,142, , , 
10-10-2022,50,10,9,12
11-10-2022,47,10,9,12
12-10-2022,96,10,9,13
13-10-2022,28,10,9,13
14-10-2022,39,10,9,7
15-10-2022,35,10,9,10
24-10-2022,62,9,10,16
25-10-2022,68,11,14,17
26-10-2022,86,12,10,21
27-10-2022,71,10,7,12
28-10-2022,48,9,7,11
29-10-2022,48,10,8,12
30-10-2022,58,10,8,13
31-10-2022,68,10,8,13
01-11-2022,59,10,8,13
02-11-2022,46,10,8,12
03-11-2022,53,10,8,13
04-11-2022,54,10,8,13
05-11-2022,52, , , 
08-11-2022,68,10,8,12
09-11-2022,68,10,8,17
10-11-2022,68,10,8,5
11-11-2022,75, , , 
14-11-2022,98, , , 
16-11-2022,92,10,11,6
17-11-2022,78,10,11,4
18-11-2022,74,10,11,4
19-11-2022,68,10,11,7
20-11-2022,67,10,11,4
21-11-2022,65,10,11,4
22-11-2022,57,10,11,4
23-11-2022,46,10,11,5
24-11-2022,49,10,11,3
25-11-2022,55, , , 
30-11-2022,69,10,11,3
01-12-2022,61,10,11,6
02-12-2022,58,11,10,8
