latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
23.725834,92.85111,973,19800,Asia/Kolkata,GMT+5:30
,,,,,
time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),wind_speed_10m_max (km/h),relative_humidity_2m_max (%)
01-01-2019,19.9,1.5,0,8,100
02-01-2019,20.1,2.3,0,7.3,99
03-01-2019,19.4,2.4,0,8.8,99
04-01-2019,19.1,1.9,0,6.7,96
05-01-2019,20.6,0.9,0,6.1,99
06-01-2019,22.9,1.5,0,6,99
07-01-2019,23.2,2.6,0,6.5,92
08-01-2019,20.9,6.7,0,9.4,96
09-01-2019,20.1,3.2,0,7,96
10-01-2019,18.7,4.4,0,7.3,94
11-01-2019,20.4,1.9,0,6.8,98
12-01-2019,20.7,2,0,7.4,98
13-01-2019,21.5,2.7,0,7.2,95
14-01-2019,20.4,3,0,6.8,92
15-01-2019,18.9,3,0,8.2,93
16-01-2019,21.2,1.4,0,5.8,99
17-01-2019,21.6,2.1,0,6.6,99
18-01-2019,20.7,3,0,7.2,97
19-01-2019,20.2,2.9,0,6.6,91
20-01-2019,19.6,2.9,0,7.1,95
21-01-2019,21.3,2.5,0,6.2,100
22-01-2019,22.1,3.1,0,7.2,99
23-01-2019,22.4,3.1,0,6.4,99
24-01-2019,22.7,3.1,0,8.9,96
25-01-2019,23.9,3.6,0,8.3,99
26-01-2019,23.9,4.7,0,6.1,98
27-01-2019,23.6,5.9,0,9,98
28-01-2019,21.3,8,0,6.2,94
29-01-2019,19.8,9.4,0.9,9.7,98
30-01-2019,19.6,6.5,0,7.7,100
31-01-2019,23.2,2.6,0,7,99
01-02-2019,24.2,3.3,0,8.1,99
02-02-2019,22.9,3.5,0,9.9,91
03-02-2019,22.4,4.4,0,7.4,86
04-02-2019,21.6,3.9,0,6.7,92
05-02-2019,22.8,1.3,0,6.7,98
06-02-2019,22.2,2.8,0,6.9,95
07-02-2019,23.5,3.5,0,7.1,93
08-02-2019,25.2,4.4,0,9.7,98
09-02-2019,26.1,8.6,0,11,91
10-02-2019,21.6,9.3,0,9.1,92
11-02-2019,23.7,4.4,0,8,98
12-02-2019,24.7,4.7,0,5.9,95
13-02-2019,25.7,5.4,0,7.2,85
14-02-2019,25.2,6,0,8.3,85
15-02-2019,25.5,6.6,0,7.9,85
16-02-2019,22.5,7.1,0,13.3,96
17-02-2019,21.2,7.1,2,14.5,96
18-02-2019,20.4,7.7,0,10.3,98
19-02-2019,21.5,7.5,0,10.1,92
20-02-2019,23.7,7.4,0,12.3,98
21-02-2019,23.8,7.7,0,10.4,92
22-02-2019,24.5,7.6,0,11.4,95
23-02-2019,24.1,9.7,0.6,11.4,98
24-02-2019,24.9,10.8,0.2,11.3,96
25-02-2019,18.6,9.4,14.1,8,100
26-02-2019,20.6,8.2,6.8,11.3,100
27-02-2019,17.5,10.2,6.7,7.4,100
28-02-2019,17.3,9,20.6,8.1,100
01-03-2019,19.8,8.5,0.8,8.1,100
02-03-2019,21.6,4.6,0,6.8,93
03-03-2019,22.3,3.6,0,9.7,94
04-03-2019,21.6,7,0.4,7,87
05-03-2019,15.5,10.7,20.7,7.7,100
06-03-2019,21.6,9.6,0.6,7.3,100
07-03-2019,21.7,10.8,1.1,7.6,100
08-03-2019,21,9.5,7.1,9.7,100
09-03-2019,21.1,7.1,0,11.3,89
10-03-2019,22.9,6.5,0,8.9,98
11-03-2019,22.8,10.3,0.2,8.2,90
12-03-2019,24.5,9.5,0,9.4,97
13-03-2019,25.4,9.1,0,8.1,99
14-03-2019,26.1,9.9,0,7.6,98
15-03-2019,27.1,11.3,0,8.7,93
16-03-2019,26.2,12.3,0,7.4,88
17-03-2019,25.2,11.3,0.2,7.6,91
18-03-2019,25.9,11.3,0,10.1,92
19-03-2019,24.4,9.3,0.2,10.6,100
20-03-2019,23.6,11.1,0.3,8.9,97
21-03-2019,24.4,10,0,11.6,97
22-03-2019,25.1,9.7,1,10.8,99
23-03-2019,25.2,12.1,0.9,10.9,99
24-03-2019,26.4,11.7,0,8.3,100
25-03-2019,27.4,8.6,0,8.1,95
26-03-2019,28.8,8.2,0,10.7,92
27-03-2019,26.6,11,0.2,14.3,94
28-03-2019,25.5,9.9,0,9.2,96
29-03-2019,27.6,9,0,9.1,97
30-03-2019,27.8,10.6,0,7.3,90
31-03-2019,27.4,12.3,0.4,12.6,95
01-04-2019,27.3,12.2,0.5,12.9,98
02-04-2019,28.2,14,4.8,13.8,100
03-04-2019,26.6,11,0.5,13,100
04-04-2019,27.2,11.7,0,10.6,99
05-04-2019,26.8,13,0.5,8.5,98
06-04-2019,27.6,13.7,4,9,96
07-04-2019,25.9,13.3,1.2,11.5,100
08-04-2019,25.4,13.1,3.7,12.1,100
09-04-2019,26.3,12.7,0.2,11.1,99
10-04-2019,23.1,13,2.5,12.2,99
11-04-2019,25.9,13.3,0.4,7.4,100
12-04-2019,26.1,13.5,2,8.9,100
13-04-2019,26.6,13.8,1.5,6.6,100
14-04-2019,28.5,15.5,0,10.4,97
15-04-2019,30,13.8,0.1,12.2,96
16-04-2019,30.7,14,0.2,13,99
17-04-2019,31.1,15.4,0.3,10,99
18-04-2019,30,15.2,0.1,13.4,95
19-04-2019,27.6,14.7,0,10.2,89
20-04-2019,26.6,14.8,2.4,8.7,97
21-04-2019,28,12.7,0,8.7,98
22-04-2019,28.4,12.9,0.2,11.8,94
23-04-2019,29.8,12.4,0,10.1,95
24-04-2019,30.7,12.1,0,10,90
25-04-2019,29.8,14,0,8.9,85
26-04-2019,29.8,16.7,0,6.9,89
27-04-2019,29.8,16.1,0,11.6,87
28-04-2019,31,19.3,0.3,13,92
29-04-2019,30.1,17.4,0,13.3,96
30-04-2019,29.9,17.5,0,12.4,95
01-05-2019,28.9,18.6,0.4,14.7,92
02-05-2019,28.9,19,0.6,9.5,95
03-05-2019,29,17.7,11,9,100
04-05-2019,28.2,16.4,15.1,20.5,100
05-05-2019,27.3,17.5,0.8,13.2,97
06-05-2019,28.1,17.4,0.5,10.8,93
07-05-2019,30,15.3,0,11.5,96
08-05-2019,30.8,14.3,0,11.8,97
09-05-2019,31,16.9,0,13.8,95
10-05-2019,30.4,17.6,0,11.3,95
11-05-2019,30.7,19.9,0.5,11.3,95
12-05-2019,31.2,18.9,0,10,92
13-05-2019,32,19.5,0.1,11.6,96
14-05-2019,28.7,17.1,2.2,12.7,100
15-05-2019,27.5,17.1,7.4,9.9,98
16-05-2019,26.5,16.8,2,10,98
17-05-2019,28.5,18.5,0.6,11.7,95
18-05-2019,28.8,18.8,1.2,14,95
19-05-2019,29.4,18.3,0.5,11.5,100
20-05-2019,31.1,18.8,0,9.4,100
21-05-2019,30.8,18.1,0.3,9.4,92
22-05-2019,29.2,18.6,0.5,9.5,91
23-05-2019,30.7,19.3,2.7,12.7,95
24-05-2019,26.3,18.4,11.7,13.8,100
25-05-2019,25.3,19.2,5.5,15.1,100
26-05-2019,27.3,18.8,3.7,11.8,98
27-05-2019,28.8,17.9,0,8.4,98
28-05-2019,31.7,16.1,0,8,98
29-05-2019,30.4,16.9,0,7,91
30-05-2019,30.8,18.6,0,8.4,93
31-05-2019,30.1,18,1.4,11.2,94
01-06-2019,24.5,18.4,10.6,9.7,100
02-06-2019,27.9,17,1.1,5.9,99
03-06-2019,27.6,17.8,2.8,10.7,98
04-06-2019,27.2,17.5,5,15.4,100
05-06-2019,26.5,17.4,10.9,10.6,100
06-06-2019,29.7,17.5,8.9,8.1,100
07-06-2019,24.9,19.1,20.7,6.2,100
08-06-2019,28.6,18.1,5.7,9.7,100
09-06-2019,28,18.2,6.2,11.5,100
10-06-2019,27.5,18.1,2.4,9.6,100
11-06-2019,27.4,18.9,2.3,5.7,100
12-06-2019,28.7,19,2.2,6,100
13-06-2019,28.3,20.6,7.7,4.7,100
14-06-2019,23.8,20.4,62.9,6.5,100
15-06-2019,23.7,19.7,5,8.9,100
16-06-2019,29.1,19.8,2.4,11.5,100
17-06-2019,29.9,20.1,0.1,8.6,95
18-06-2019,28.5,20.8,5.6,5.4,100
19-06-2019,28.2,20.3,21.4,8.4,100
20-06-2019,27.8,19.8,17.7,4.6,100
21-06-2019,26.3,20.2,11.3,5.2,100
22-06-2019,28.7,19.2,4.4,9,100
23-06-2019,28.5,21,21.6,7.5,100
24-06-2019,29.5,20,0.9,9.7,97
25-06-2019,27.1,20.4,4.7,11.5,95
26-06-2019,26.9,20.6,2.3,13.8,96
27-06-2019,26,20.8,1.1,14.3,92
28-06-2019,27.6,19.7,0.2,12.6,96
29-06-2019,29.4,19.2,0.5,7.6,94
30-06-2019,26.6,20.3,9.8,7.6,100
01-07-2019,28.3,20.1,18.1,11.3,100
02-07-2019,27.8,19.1,2.4,9.8,100
03-07-2019,28,20.3,10.3,11.4,100
04-07-2019,26.1,19.4,8,8.7,100
05-07-2019,28.4,19.6,3.4,9.5,100
06-07-2019,26.5,19.9,16.8,12.8,100
07-07-2019,25.7,19.9,23,11.4,100
08-07-2019,23,20,25.7,14.7,100
09-07-2019,25.2,19.5,36.5,16.4,100
10-07-2019,25.3,19.2,18.7,14.7,100
11-07-2019,24,19.5,23.8,14.8,100
12-07-2019,23.6,19.3,17.9,12.8,100
13-07-2019,22.2,19,33.9,14.3,100
14-07-2019,22.7,18.4,17.9,10.5,100
15-07-2019,25.3,18.7,2.6,11.3,100
16-07-2019,27.1,18.2,2.2,8.7,97
17-07-2019,28.3,19.8,14.5,8.9,100
18-07-2019,28,19.1,10.6,5.1,100
19-07-2019,27,19.9,14.4,7.9,100
20-07-2019,26.6,19.5,4.6,8.4,100
21-07-2019,26.7,20.2,2.3,8.3,100
22-07-2019,24,20.2,2.1,9.4,97
23-07-2019,25.6,19.6,2.5,11.5,96
24-07-2019,25.3,20.4,4.4,12,95
25-07-2019,25.8,19.9,3.4,6.4,100
26-07-2019,26.2,19.7,4.6,13.7,100
27-07-2019,26.8,19.2,6.4,7.2,100
28-07-2019,28.6,18.8,3.8,7.2,100
29-07-2019,27.8,18.8,3.5,9.7,100
30-07-2019,23.7,19.3,12.1,9.4,100
31-07-2019,23.7,19.1,5.6,8.9,100
01-08-2019,27,19.2,2.9,6.2,100
02-08-2019,26.1,18.9,2.5,5.8,99
03-08-2019,27.8,18.7,2.8,11,100
04-08-2019,27.6,19.8,16.3,5,100
05-08-2019,30.4,20,0.9,8.4,100
06-08-2019,29.1,20.8,5.1,5.8,100
07-08-2019,25.8,20.8,31.7,6.3,100
08-08-2019,23.8,19.2,12,7.6,100
09-08-2019,25.2,18.5,4.8,10.7,100
10-08-2019,26.7,19.6,1.8,6.6,100
11-08-2019,28,19.4,8.6,5.9,100
12-08-2019,27.2,20.9,23,6.6,100
13-08-2019,25.1,20.3,16.2,10.1,100
14-08-2019,23.8,19.8,12.8,9.7,100
15-08-2019,24.7,19.3,9.3,9.4,100
16-08-2019,24.5,18.8,5.6,10,100
17-08-2019,27,18.7,2.8,8.1,97
18-08-2019,26.5,18.2,5.3,10.7,100
19-08-2019,25.9,18.3,2.5,7.8,100
20-08-2019,26.5,19.2,0.9,6,99
21-08-2019,26.9,19.5,14,5.8,100
22-08-2019,27.3,19.5,29.4,6.6,100
23-08-2019,24.7,20.1,17.2,4.3,100
24-08-2019,23.1,19.8,41.9,3.4,100
25-08-2019,26.3,19.4,6.4,6.5,100
26-08-2019,27.6,18.4,3.7,7.1,100
27-08-2019,27.4,19.7,8,7.6,99
28-08-2019,25.1,20.3,8.9,4.3,100
29-08-2019,27.3,19.4,14.3,6.7,100
30-08-2019,26,20.2,2.5,5.4,100
31-08-2019,27.4,20.5,10.2,6.9,100
01-09-2019,26.5,20.7,7.6,5,100
02-09-2019,27.1,20.2,3.2,5.4,100
03-09-2019,26.8,19.5,12,5.9,100
04-09-2019,26.8,19.4,14.8,7.1,100
05-09-2019,26,19.4,14.1,7.7,100
06-09-2019,26.8,19.8,17.9,10.7,100
07-09-2019,25.7,19.7,29,8.9,100
08-09-2019,25.3,19.4,15.7,14,100
09-09-2019,24.8,20,6.8,13.6,95
10-09-2019,25.3,19.2,4.8,11.9,100
11-09-2019,25.9,19.6,1.9,6.8,97
12-09-2019,24.5,19.5,3.4,12.6,100
13-09-2019,25,18.7,2.4,10.9,100
14-09-2019,25.4,17.7,0.4,5.6,100
15-09-2019,27.4,18.9,2.6,5.2,99
16-09-2019,24.4,19.1,6.7,5.9,100
17-09-2019,27.3,18.5,6.4,5.8,100
18-09-2019,27.4,19.2,0.5,6.4,100
19-09-2019,27.7,18.2,2.6,7.9,100
20-09-2019,26,18.7,11.1,4.3,100
21-09-2019,28.3,18.2,7.1,5.9,100
22-09-2019,26.4,18.5,5.4,4.7,100
23-09-2019,25.2,19.1,11.4,4.7,100
24-09-2019,22.3,18.8,16.4,3.2,100
25-09-2019,21.1,18.6,20,3.1,100
26-09-2019,23.9,17.9,11.2,5.9,100
27-09-2019,26.2,16.7,11.1,6.9,100
28-09-2019,26.9,16.5,8.2,9.7,100
29-09-2019,24,17.3,6.8,3.6,100
30-09-2019,23.3,16.8,3.6,8.8,100
01-10-2019,22.1,17.4,10.8,6.2,100
02-10-2019,23.6,15.9,3.3,11,100
03-10-2019,23.9,16.2,2.1,7.1,100
04-10-2019,24.8,16.5,4.6,7.2,100
05-10-2019,24.8,16.5,3.4,7.9,100
06-10-2019,25.6,16.5,5.7,7.4,100
07-10-2019,25.2,16.9,8.8,5.9,100
08-10-2019,23.1,17.5,2.2,3.9,100
09-10-2019,25.8,15.8,4.1,5.4,100
10-10-2019,22.2,17.2,16.6,8.1,100
11-10-2019,23.2,16.2,2.3,6.6,100
12-10-2019,24.8,15.4,0.7,6.1,100
13-10-2019,25.8,15,0,6.9,100
14-10-2019,26.6,15.4,0.3,4,100
15-10-2019,25.7,16.5,5.2,6.7,100
16-10-2019,25.1,16.4,9.4,4.9,100
17-10-2019,26.6,15.8,0.5,6.4,100
18-10-2019,26.7,15.8,0.1,5.2,100
19-10-2019,26.7,16.2,0.2,5.5,100
20-10-2019,26.7,15.4,0,6.3,100
21-10-2019,25.9,15,0.5,8.3,99
22-10-2019,24.7,15.7,2.9,10.1,100
23-10-2019,25.4,15.8,1.4,7.6,100
24-10-2019,23.1,17,0.8,7.2,100
25-10-2019,25.8,15.9,0,6.3,100
26-10-2019,24.1,18.1,3.8,10.2,96
27-10-2019,23.6,17.3,10.4,10.2,100
28-10-2019,24.4,16.6,2.3,3,100
29-10-2019,26,15.8,0.7,8.2,100
30-10-2019,26.7,15.1,0,8.6,100
31-10-2019,25.4,14.5,0.1,8.7,100
01-11-2019,25.7,15.1,0,7.8,99
02-11-2019,27.2,13.4,0,6.1,100
03-11-2019,26.7,13.7,0,7,100
04-11-2019,25.3,14.9,0.5,8.1,96
05-11-2019,24.5,13.9,0,8.5,100
06-11-2019,25.4,11.3,0,7.3,96
07-11-2019,27,10,0,7.6,100
08-11-2019,25.2,16.7,11.7,5.5,100
09-11-2019,23,17.2,9.1,3.3,100
10-11-2019,21.2,16.5,19.8,5.4,100
11-11-2019,21.4,17,4.5,7.4,100
12-11-2019,22.3,16.4,0.3,4.5,100
13-11-2019,24.7,15.2,0,7.7,100
14-11-2019,26.3,13,0,5.4,100
15-11-2019,25.6,10.9,0,6.8,100
16-11-2019,24.7,9.7,0,7.7,99
17-11-2019,23.6,7.9,0,6.8,100
18-11-2019,23.4,10.4,0,6.9,99
19-11-2019,23,7.8,0,8.1,100
20-11-2019,22.6,7,0,8,100
21-11-2019,24.1,5.5,0,6.4,100
22-11-2019,24,6.8,0,7.6,100
23-11-2019,22.7,6.9,0,6.8,99
24-11-2019,22.7,8.4,0,6.5,99
25-11-2019,24,7.9,0,6.4,99
26-11-2019,24.7,8.1,0,6.8,100
27-11-2019,25.7,8.3,0,6.5,97
28-11-2019,26.4,7.9,0,6.4,98
29-11-2019,25.7,7.8,0,7.6,99
30-11-2019,24.3,8.1,0,8.2,96
01-12-2019,23.4,7.1,0,7.1,95
02-12-2019,21.7,5.6,0,7,98
03-12-2019,21.4,5.1,0,7.3,100
04-12-2019,21.7,4.4,0,9.3,100
05-12-2019,23.8,4.6,0,6.5,100
06-12-2019,23.7,3.3,0,7.2,97
07-12-2019,23.1,5.7,0,7.1,99
08-12-2019,20.8,7.2,0,6.1,96
09-12-2019,20.8,6.8,0,6.2,98
10-12-2019,20.3,5.8,0,8.1,98
11-12-2019,19.5,7.5,0,8.1,93
12-12-2019,20.6,4.3,0,5.4,98
13-12-2019,21.9,4.1,0,8.4,99
14-12-2019,22,5.4,0,7.3,97
15-12-2019,21.9,5.7,0,6.3,94
16-12-2019,22.2,5.7,0,6.3,94
17-12-2019,21,5.9,0,6.2,93
18-12-2019,20.5,6.1,0,7.6,98
19-12-2019,20.3,6.1,0,7.4,100
20-12-2019,20.5,4.4,0,9,100
21-12-2019,20.3,4.3,0,8.4,95
22-12-2019,21.6,4.6,0,7.9,94
23-12-2019,21.2,5.9,0,7.8,95
24-12-2019,19.8,3.4,0,8.7,92
25-12-2019,20.1,4.1,0,6.7,86
26-12-2019,20.8,5.8,0.1,6.4,87
27-12-2019,16,8.6,7.8,5.2,100
28-12-2019,17,6.8,0.9,8.5,100
29-12-2019,20.4,3.7,0,8,100
30-12-2019,21.1,3.3,0,9.2,99
31-12-2019,21.8,4.6,0,6.5,100
01-01-2020,17.8,7.2,17.1,6.1,100
02-01-2020,20.5,8.3,0,5.5,100
03-01-2020,18.6,10.2,26.1,12.5,100
04-01-2020,17.3,10.1,5.3,8.9,100
05-01-2020,17.7,8.9,1.3,10.9,100
06-01-2020,16.1,6,0,6.3,100
07-01-2020,18.4,3.3,0,8.4,100
08-01-2020,19.6,3.4,0,5.1,100
09-01-2020,18.9,7.2,1,7.5,99
10-01-2020,18.5,9.4,0,7.5,100
11-01-2020,17.7,6.6,0,9,100
12-01-2020,19.8,3.8,0,6.9,100
13-01-2020,20.4,4.7,0,9.5,100
14-01-2020,20,4.6,0,8.1,100
15-01-2020,21.3,4.4,0,6.5,99
16-01-2020,21.7,4.5,0,6.2,100
17-01-2020,22.1,4.6,0,5.7,99
18-01-2020,21.7,4.5,0,7.7,97
19-01-2020,21.8,3.8,0,6.1,99
20-01-2020,19,6.1,0.7,10.1,100
21-01-2020,19.5,6.9,0,8.2,100
22-01-2020,20.9,3,0,9.8,93
23-01-2020,19.3,3,2.3,11.9,91
24-01-2020,17.5,5.7,0,7.2,98
25-01-2020,18.2,1.4,0,7.9,92
26-01-2020,17.9,2.4,0,10.6,97
27-01-2020,17.1,2.1,0,10.7,98
28-01-2020,18.4,2.8,0,8.6,94
29-01-2020,19.1,4,0,6.6,91
30-01-2020,20.5,6.2,0.2,8.6,89
31-01-2020,17.8,8.5,2.5,9.7,98
01-02-2020,19.4,7.2,0,7.7,100
02-02-2020,17.9,4.2,0,8.7,97
03-02-2020,17.9,3.8,0,7.9,92
04-02-2020,19.1,0.9,0,7.8,97
05-02-2020,20.3,5.9,0,9.7,91
06-02-2020,19.4,5.6,0,7.9,88
07-02-2020,18.8,6.3,0,7.2,82
08-02-2020,20.1,8,0,5.6,86
09-02-2020,13.9,7.4,7.5,4.2,100
10-02-2020,20.2,5.8,0,6.9,100
11-02-2020,21,3.7,0,7.2,94
12-02-2020,21.1,3.8,0,6.3,91
13-02-2020,21,4.9,0,8,93
14-02-2020,19.8,6.2,0,11.3,94
15-02-2020,20.5,6.2,0,9.7,99
16-02-2020,22.9,7,0,7.7,94
17-02-2020,23.5,6.1,0,7.2,96
18-02-2020,22.8,5.3,0,7.6,98
19-02-2020,23.1,5.8,0,9,97
20-02-2020,23.3,5.4,0,8.4,96
21-02-2020,26.3,4.5,0,8.4,98
22-02-2020,27.3,5.3,0,11.3,95
23-02-2020,25.8,7.5,0,13.6,96
24-02-2020,24.7,6.7,0,7.9,93
25-02-2020,20.5,10.9,0.1,6.1,87
26-02-2020,17.9,7.8,2.4,9.6,100
27-02-2020,20.4,6,0,7.3,100
28-02-2020,22.8,5.3,0,9.3,97
29-02-2020,24.7,5.5,0,6.1,99
01-03-2020,25.7,7.3,0,8.7,92
02-03-2020,25.3,8.4,0,11,90
03-03-2020,22.8,8.7,0.4,11.2,91
04-03-2020,24.2,7.8,0.2,8.7,99
05-03-2020,23.9,8.3,0.5,13,97
06-03-2020,21.6,9.7,0.5,7.8,94
07-03-2020,19.3,8.8,0.7,5.9,100
08-03-2020,22.2,9.3,0.7,10.4,100
09-03-2020,23.3,10.7,0.7,8,97
10-03-2020,25.1,6.6,0,8.9,91
11-03-2020,26.5,7.4,0,10.1,82
12-03-2020,27.4,9.8,0,7.8,86
13-03-2020,28.9,10.9,0,9.2,94
14-03-2020,30.3,10.1,0,10.1,96
15-03-2020,29.2,11.1,0,12.1,97
16-03-2020,27.9,12.2,0,10,90
17-03-2020,27.6,10.5,0,14.6,87
18-03-2020,25.3,10.1,0,9.7,88
19-03-2020,27.1,9.5,0,8,91
20-03-2020,25.8,10.7,0,9.7,78
21-03-2020,24.8,11.3,0,11.2,83
22-03-2020,23.7,9.8,1.1,8.4,100
23-03-2020,23,9.8,0.4,8.7,100
24-03-2020,24.1,10.6,0.2,8.5,95
25-03-2020,27.8,8.9,0,9.3,95
26-03-2020,27,12.2,0,8.2,84
27-03-2020,29.8,11.9,0,10.1,93
28-03-2020,29.7,13.1,0,11.7,85
29-03-2020,29.4,15.1,0,12.3,88
30-03-2020,29.6,12.2,0,10.9,79
31-03-2020,29.6,10.7,0,9.8,69
01-04-2020,29.8,10.6,0,10.6,68
02-04-2020,30.1,11.4,0,12.2,71
03-04-2020,28.8,13.5,0.1,13.7,92
04-04-2020,28.5,14.6,0.1,15,96
05-04-2020,28.5,12.4,0.5,12.6,95
06-04-2020,28.6,13.4,0,13,92
07-04-2020,29.4,11,0,14.6,90
08-04-2020,29.6,13.4,0,12.4,77
09-04-2020,30,11.8,0,13.3,82
10-04-2020,30.1,13.5,0,11.8,89
11-04-2020,30.6,12.7,0,10.3,77
12-04-2020,30.3,12.9,0,13.6,85
13-04-2020,31.3,13.2,0,13.8,87
14-04-2020,31.5,14.4,0,10,84
15-04-2020,31.6,13.8,0,13,96
16-04-2020,26.9,14.7,5.5,12.2,95
17-04-2020,25.1,16,3.1,10.5,97
18-04-2020,28.2,14.4,1.4,10.5,96
19-04-2020,30.1,14.1,0,11.2,97
20-04-2020,30.3,14,0,13.2,90
21-04-2020,26.9,15.7,8,9.2,100
22-04-2020,24.8,14.4,2.2,11.2,100
23-04-2020,26.3,12.9,0,9.7,99
24-04-2020,26,14.3,12.1,11.4,100
25-04-2020,25.5,14.8,12.2,12,100
26-04-2020,24.4,13.4,2.3,8.4,100
27-04-2020,25.2,14.6,7.3,8.9,100
28-04-2020,25.2,14.1,6.5,6,100
29-04-2020,23.7,15.6,7.8,8.4,100
30-04-2020,24.5,15,5.6,9.8,100
01-05-2020,25.3,13.8,0.6,8,100
02-05-2020,26.3,14,11.1,5.1,100
03-05-2020,24.8,14.3,7.2,5,100
04-05-2020,25.3,15.3,3,11,100
05-05-2020,26.2,15.5,1.5,7.5,98
06-05-2020,27.6,15.9,0.1,12.3,100
07-05-2020,28.3,14.5,0,9.6,100
08-05-2020,29.2,14,0,9.8,95
09-05-2020,27.6,14.3,0.1,8.6,86
10-05-2020,29.7,13.4,0,6.6,93
11-05-2020,30.6,14.8,0,11,93
12-05-2020,30.5,16.6,0,11.7,94
13-05-2020,28.3,14.9,0.6,8.7,95
14-05-2020,30.2,15.1,0.1,11.5,98
15-05-2020,29,16.7,0.6,12.4,100
16-05-2020,28.9,16.9,0.4,10.8,100
17-05-2020,29.6,16.4,0.1,7.9,91
18-05-2020,31.9,17.3,0,10.7,86
19-05-2020,27.8,19,6.4,6.2,100
20-05-2020,28.3,19.1,21.5,3.8,100
21-05-2020,28.3,18.8,3.4,17.8,98
22-05-2020,26.1,18.2,6.3,15.8,98
23-05-2020,29.1,17.2,0.4,11.1,100
24-05-2020,29.3,19.9,0.9,15.5,98
25-05-2020,29.1,20.6,0.5,18.9,92
26-05-2020,29.1,20.1,0.1,17.9,89
27-05-2020,24.4,18.7,14,11.3,100
28-05-2020,22.8,17.2,70.7,7.7,100
29-05-2020,23,16.4,4.8,5.2,100
30-05-2020,25.3,16.9,4.8,8,100
31-05-2020,25.5,17.1,3.3,10.3,100
01-06-2020,25.6,16.7,2.1,10.3,100
02-06-2020,26.5,17.4,1.4,13,98
03-06-2020,26.9,18.1,5.5,9.7,97
04-06-2020,26.5,18,2.6,12.3,99
05-06-2020,27,17.8,2,7.9,99
06-06-2020,28.1,19,1.6,10.8,98
07-06-2020,27.5,18.6,1.6,9.7,99
08-06-2020,27.5,18.9,2.3,10.5,100
09-06-2020,30.5,19.1,14.8,8.2,100
10-06-2020,26.9,20,34.5,4.7,100
11-06-2020,25.2,19.8,32.1,7.7,100
12-06-2020,28.5,18.7,7.8,11.8,100
13-06-2020,27.2,18.6,6,8.5,100
14-06-2020,28.5,18.5,2.9,8.5,100
15-06-2020,26.8,19,9.9,11.2,100
16-06-2020,26.9,20.1,5,10.6,100
17-06-2020,22.7,19.6,23.8,13.3,100
18-06-2020,23.1,19.3,12.5,11,100
19-06-2020,23.5,18.9,7.3,7.6,99
20-06-2020,26.9,18.9,3.4,8.2,98
21-06-2020,28,18.7,9.4,12,100
22-06-2020,28.9,18,6,9.7,100
23-06-2020,26.6,18.8,4.3,12.5,97
24-06-2020,27.6,19.2,3.4,11.9,97
25-06-2020,27.5,19.8,1.7,12.5,96
26-06-2020,27.1,20,1.3,14,95
27-06-2020,26.6,19.5,5.8,15,100
